symbol,gene_id,diseaseid,score,evidencecount,name,parents,therapeuticareas
SLC1A4,ENSG00000115902,EFO_0004309,0.20479711981932117,1,platelet count,"[EFO_0004586, EFO_0005036]",[EFO_0001444]
SLC1A4,ENSG00000115902,EFO_0006797,0.2447505073695434,1,neurofibrillary tangles measurement,[EFO_0004464],[EFO_0001444]
SLC1A4,ENSG00000115902,HP_0001249,0.3726180064123515,7,Intellectual disability,"[HP_0012759, HP_0100543]",[EFO_0000651]
SLC1A5,ENSG00000105281,EFO_0020092,0.21318654333935072,1,neuroinflammatory disorder,"[EFO_0009386, MONDO_0002977]","[EFO_0000540, EFO_0000618]"
SLC1A5,ENSG00000105281,MONDO_0002491,0.22812639083098013,1,substance abuse,[MONDO_0002494],[MONDO_0002025]
SLC1A5,ENSG00000105281,EFO_0007052,0.22812639083098013,1,antisocial behaviour measurement,[EFO_0006848],[EFO_0001444]
SLC1A5,ENSG00000105281,EFO_0004980,0.25240025146757333,1,appendicular lean mass,"[EFO_0004516, EFO_0004302]",[EFO_0001444]
SLC1A5,ENSG00000105281,EFO_0003888,0.22812639083098013,1,attention deficit hyperactivity disorder,[MONDO_0000592],"[MONDO_0002025, EFO_0000618]"
SLC1A5,ENSG00000105281,EFO_0004339,0.26689097885463525,1,body height,[EFO_0004324],[EFO_0001444]
SLC1A5,ENSG00000105281,EFO_0005772,0.4624426733837361,3,neurodegenerative disease,[EFO_0009386],[EFO_0000618]
SLC1A5,ENSG00000105281,EFO_0004611,0.23268460851686246,1,low density lipoprotein cholesterol measurement,"[EFO_0004732, EFO_0005278, EFO_0004529]",[EFO_0001444]
SLC1A6,ENSG00000105143,MONDO_0024622,0.2309874091779386,2,thyroid gland adenocarcinoma,"[EFO_0000228, EFO_0002892]","[MONDO_0045024, EFO_0001379]"
SLC1A6,ENSG00000105143,EFO_0005772,0.3481436512061995,2,neurodegenerative disease,[EFO_0009386],[EFO_0000618]
SLC1A7,ENSG00000162383,EFO_0011011,0.29161658154902986,1,sitting height measurement,[EFO_0004302],[EFO_0001444]
SLC1A7,ENSG00000162383,EFO_0008307,0.3017062851282371,2,tuberculin skin test reactivity measurement,[EFO_0001444],[EFO_0001444]
SLC1A7,ENSG00000162383,EFO_0004339,0.39570030280236307,5,body height,[EFO_0004324],[EFO_0001444]
SLC1A7,ENSG00000162383,EFO_0004518,0.28683206327506566,1,creatinine measurement,"[EFO_0004742, EFO_0004725]",[EFO_0001444]
SLC1A7,ENSG00000162383,EFO_0007814,0.4447629557005263,8,refractive error measurement,[EFO_0004731],[EFO_0001444]
SLC10A1,ENSG00000100652,EFO_0008496,0.27755447086821106,3,chronic hepatitis,[HP_0012115],[EFO_0000651]
SLC10A1,ENSG00000100652,EFO_0000763,0.3762984714609806,28,viral disease,[EFO_0005741],[EFO_0005741]
SLC10A1,ENSG00000100652,MONDO_0100327,0.3695798546847018,1,"hypercholanemia, familial",[MONDO_0019218],"[OTAR_0000018, OTAR_0000020]"
SLC10A2,ENSG00000125255,HP_0012450,0.5086598088084829,12,Chronic constipation,[HP_0002019],[EFO_0000651]
SLC10A2,ENSG00000125255,EFO_0010750,0.2817710066407129,2,PHF-tau measurement,"[EFO_0006514, EFO_0004464]",[EFO_0001444]
SLC10A2,ENSG00000125255,EFO_0003832,0.31789232014167523,1,gallbladder disease,[EFO_0009534],[EFO_0010282]
SLC10A2,ENSG00000125255,MONDO_0015762,0.39329593831644183,16,progressive familial intrahepatic cholestasis,"[MONDO_0017755, MONDO_0017290]","[OTAR_0000018, OTAR_0000020, EFO_0001379, EFO_0010282]"
SLC10A2,ENSG00000125255,MONDO_0011156,0.2673891769651083,2,progressive familial intrahepatic cholestasis type 2,"[MONDO_0011559, MONDO_0015762]","[OTAR_0000018, OTAR_0000020, EFO_0001379, EFO_0010282]"
SLC10A2,ENSG00000125255,MONDO_0017290,0.3718217158171121,5,familial intrahepatic cholestasis,"[MONDO_0019072, MONDO_0019052, MONDO_0015509]","[OTAR_0000018, OTAR_0000020, EFO_0001379, EFO_0010282]"
SLC10A2,ENSG00000125255,EFO_0005653,0.3250059082956457,1,serum metabolite measurement,[EFO_0004725],[EFO_0001444]
SLC10A2,ENSG00000125255,MONDO_0019852,0.4619748183558772,2,inherited primary ovarian failure,"[EFO_0004266, MONDO_0015514, MONDO_0016072]","[OTAR_0000017, OTAR_0000018, EFO_0001379]"
SLC10A2,ENSG00000125255,EFO_0004799,0.4683398344465596,7,cholelithiasis,"[MONDO_0700225, EFO_1000018]","[OTAR_0000018, EFO_0001379, EFO_0009690, EFO_0010282]"
SLC10A2,ENSG00000125255,EFO_0004340,0.23152192673922403,4,body mass index,[EFO_0004324],[EFO_0001444]
SLC10A2,ENSG00000125255,EFO_0009605,0.31789232014167523,1,pancreas disease,"[EFO_0001379, EFO_0010282]",[EFO_0009605]
SLC10A2,ENSG00000125255,EFO_0009534,0.31789232014167523,1,biliary tract disease,[EFO_0010284],[EFO_0010282]
SLC10A2,ENSG00000125255,EFO_1001870,0.2133849550828787,1,late-onset Alzheimers disease,[MONDO_0004975],"[MONDO_0002025, EFO_0000618]"
SLC10A2,ENSG00000125255,HP_0002019,0.36046098507571045,9,Constipation,[HP_0011458],[EFO_0000651]
SLC10A2,ENSG00000125255,MONDO_0007318,0.5274614575274774,28,Alagille syndrome,"[MONDO_0015161, EFO_0003966, MONDO_0015509, MONDO_0015214, EFO_0003777]","[OTAR_0000018, MONDO_0024458, EFO_0001379, EFO_0000319, EFO_0010282]"
SLC10A2,ENSG00000125255,MONDO_0001751,0.2920255742694064,24,cholestasis,[MONDO_0002887],[EFO_0010282]
SLC10A2,ENSG00000125255,EFO_0004614,0.33585375354009167,1,apolipoprotein A 1 measurement,"[EFO_0004872, EFO_0005278, EFO_0004732]",[EFO_0001444]
SLC10A2,ENSG00000125255,MONDO_0008892,0.25870589827929125,1,progressive familial intrahepatic cholestasis type 1,[MONDO_0015762],"[OTAR_0000018, OTAR_0000020, EFO_0001379, EFO_0010282]"
SLC10A2,ENSG00000125255,MONDO_0008867,0.34232817687881567,8,biliary atresia,"[EFO_1000400, MONDO_0001751, MONDO_0015213]","[OTAR_0000018, EFO_0001379, EFO_0010282]"
SLC10A2,ENSG00000125255,EFO_0004266,0.6052210408676193,15,primary ovarian insufficiency,"[EFO_0005771, EFO_0009003]","[OTAR_0000017, EFO_0001379]"
SLC10A2,ENSG00000125255,EFO_0004210,0.39367413204774393,2,gallstones,[EFO_0003832],[EFO_0010282]
SLC10A2,ENSG00000125255,EFO_0007937,0.3447758877291831,2,blood protein measurement,[EFO_0004747],[EFO_0001444]
SLC10A2,ENSG00000125255,HP_0000989,0.527743203677393,19,Pruritus,[HP_0000951],[EFO_0000651]
SLC10A2,ENSG00000125255,EFO_0004531,0.32208719684636206,1,urate measurement,[EFO_0001444],[EFO_0001444]
SLC10A3,ENSG00000126903,NA,NA,NA,NA,NA,NA
SLC10A4,ENSG00000145248,NA,NA,NA,NA,NA,NA
SLC10A5,ENSG00000253598,NA,NA,NA,NA,NA,NA
SLC10A6,ENSG00000145283,EFO_0006336,0.32508373560779336,1,diastolic blood pressure,[EFO_0004325],[EFO_0001444]
SLC10A6,ENSG00000145283,EFO_0004527,0.33232599910938176,2,mean corpuscular hemoglobin,[EFO_0004306],[EFO_0001444]
SLC10A7,ENSG00000120519,MONDO_0005351,0.2967009761887643,1,anorexia nervosa,[EFO_0005203],"[MONDO_0002025, OTAR_0000020, EFO_0000618]"
SLC10A7,ENSG00000120519,HP_0002652,0.3754862949810308,10,Skeletal dysplasia,[HP_0011842],[EFO_0000651]
SLC10A7,ENSG00000120519,EFO_0008328,0.3174715944596179,1,chronotype measurement,[EFO_0004870],[EFO_0001444]
SLC10A7,ENSG00000120519,HP_0004322,0.3695798546847018,1,Short stature,[HP_0001510],[EFO_0000651]
SLC10A7,ENSG00000120519,EFO_0004339,0.30721021865511183,1,body height,[EFO_0004324],[EFO_0001444]
SLC10A7,ENSG00000120519,EFO_0004340,0.4487069261765246,4,body mass index,[EFO_0004324],[EFO_0001444]
SLC10A7,ENSG00000120519,MONDO_0004985,0.2967009761887643,1,bipolar disorder,[EFO_0004247],"[MONDO_0002025, EFO_0000618]"
SLC10A7,ENSG00000120519,MONDO_0018230,0.3754862949810308,10,skeletal dysplasia,"[EFO_0000508, EFO_0004260]","[OTAR_0000006, OTAR_0000018]"
SLC10A7,ENSG00000120519,EFO_0004273,0.3695798546847018,1,scoliosis,[MONDO_0000836],[OTAR_0000006]
SLC11A1,ENSG00000018280,MONDO_0009061,0.37193592625831673,3,cystic fibrosis,"[EFO_1000017, EFO_0000684]","[OTAR_0000018, OTAR_0000010]"
SLC11A2,ENSG00000110911,MONDO_0008787,0.7668064344632407,114,microcytic anemia with liver iron overload,"[MONDO_0000104, MONDO_0016624, MONDO_0017763]","[OTAR_0000018, OTAR_0000020, EFO_0005803]"
SLC11A2,ENSG00000110911,HP_0004840,0.3695798546847018,1,Hypochromic microcytic anemia,[HP_0010972],[EFO_0000651]
SLC11A2,ENSG00000110911,EFO_0004528,0.22788144296870275,2,mean corpuscular hemoglobin concentration,"[EFO_0004509, EFO_0004306]",[EFO_0001444]
SLC12A1,ENSG00000074803,HP_0001919,0.471342641061427,4,Acute kidney injury,[HP_0000083],[EFO_0000651]
SLC12A1,ENSG00000074803,HP_0011950,0.28129133384335636,3,Bronchiolitis,[HP_0002205],[EFO_0000651]
SLC12A1,ENSG00000074803,EFO_0003827,0.4342563292545246,2,pulmonary embolism,[MONDO_0000473],[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0003818,0.25870589827929125,1,lung disease,[EFO_0009433],[OTAR_0000010]
SLC12A1,ENSG00000074803,EFO_0000373,0.6078754625830471,117,congestive heart failure,[EFO_0003144],[EFO_0000319]
SLC12A1,ENSG00000074803,HP_0003124,0.25870589827929125,1,Hypercholesterolemia,[HP_0003119],[EFO_0000651]
SLC12A1,ENSG00000074803,EFO_0001645,0.25870589827929125,1,coronary artery disease,"[MONDO_0000473, EFO_0003777]",[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0001422,0.5973144912992426,34,cirrhosis of liver,"[EFO_0001421, EFO_0006890]","[EFO_0001379, MONDO_0045024, EFO_0010282]"
SLC12A1,ENSG00000074803,EFO_0000612,0.3695798546847018,1,myocardial infarction,[MONDO_0024643],[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0004255,0.6215935145752738,96,nephrotic syndrome,[MONDO_0002331],[EFO_0009690]
SLC12A1,ENSG00000074803,EFO_0004253,0.42205773018423154,6,nephrolithiasis,"[MONDO_0024647, EFO_0003086]",[EFO_0009690]
SLC12A1,ENSG00000074803,MONDO_0024664,0.38805884741893687,2,"hypertension, pregnancy-induced","[EFO_0009682, EFO_0000537]","[OTAR_0000014, EFO_0000319]"
SLC12A1,ENSG00000074803,EFO_0000712,0.3695798546847018,1,stroke,[EFO_0003763],"[EFO_0000618, EFO_0000319]"
SLC12A1,ENSG00000074803,EFO_0000537,0.6080616971479675,151,hypertension,[MONDO_0000473],[EFO_0000319]
SLC12A1,ENSG00000074803,MONDO_0100343,0.37022661943040003,3,antenatal Bartter syndrome,[MONDO_0015231],"[OTAR_0000018, EFO_0009690]"
SLC12A1,ENSG00000074803,EFO_0008583,0.25870589827929125,1,acute myocardial infarction,[EFO_0000612],[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0007990,0.20068768959507788,2,neutrophil percentage of leukocytes,[EFO_0004833],[EFO_0001444]
SLC12A1,ENSG00000074803,EFO_0000668,0.4544606952742481,5,preeclampsia,"[EFO_0000508, MONDO_0045048]","[OTAR_0000018, OTAR_0000014, EFO_0000319]"
SLC12A1,ENSG00000074803,EFO_0007009,0.379242287090866,9,skin pigmentation measurement,[EFO_0001444],[EFO_0001444]
SLC12A1,ENSG00000074803,EFO_0003758,0.27718489101352634,2,autism,[EFO_0003756],"[MONDO_0002025, EFO_0000618]"
SLC12A1,ENSG00000074803,EFO_0003144,0.5963441594344611,52,heart failure,[EFO_0003777],[EFO_0000319]
SLC12A1,ENSG00000074803,MONDO_0015231,0.6602210238063801,240,Bartter syndrome,"[EFO_1000647, MONDO_0015962]","[OTAR_0000018, EFO_0009690]"
SLC12A1,ENSG00000074803,EFO_0009840,0.25870589827929125,1,tachypnea,[EFO_0009838],[EFO_0000651]
SLC12A1,ENSG00000074803,EFO_0000319,0.5261379875719714,4,cardiovascular disease,[],[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0003086,0.6040236765924032,39,kidney disease,[EFO_0009690],[EFO_0009690]
SLC12A1,ENSG00000074803,EFO_0005772,0.2340084377847434,1,neurodegenerative disease,[EFO_0009386],[EFO_0000618]
SLC12A1,ENSG00000074803,EFO_1002048,0.4383627720843546,3,kidney failure,[EFO_0003086],[EFO_0009690]
SLC12A1,ENSG00000074803,MONDO_0005148,0.27436171156801814,4,type 2 diabetes mellitus,[EFO_0000400],"[EFO_0001379, EFO_0009605, OTAR_0000020, EFO_0010282]"
SLC12A1,ENSG00000074803,MONDO_0001567,0.35508349552897733,8,nephrocalcinosis,"[MONDO_0002123, EFO_0003086]","[OTAR_0000020, EFO_0009690]"
SLC12A1,ENSG00000074803,MONDO_0001134,0.25907547813397597,2,essential hypertension,"[EFO_0000537, MONDO_0005044]",[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0003914,0.25870589827929125,1,atherosclerosis,"[EFO_0009086, MONDO_0002277]",[EFO_0000319]
SLC12A1,ENSG00000074803,MONDO_0019091,0.38805884741893687,2,bronchopulmonary dysplasia,"[MONDO_0015930, MONDO_0015221]","[OTAR_0000018, OTAR_0000010]"
SLC12A1,ENSG00000074803,EFO_0007822,0.22300624683209122,7,hair colour measurement,[EFO_0007821],[EFO_0001444]
SLC12A1,ENSG00000074803,EFO_0000341,0.25870589827929125,1,chronic obstructive pulmonary disease,"[MONDO_0002567, EFO_0009910]",[OTAR_0000010]
SLC12A1,ENSG00000074803,EFO_0004587,0.37208471826502154,5,lymphocyte count,"[EFO_0006843, EFO_0004308, EFO_0803546]",[EFO_0001444]
SLC12A1,ENSG00000074803,EFO_0000401,0.37157343001751353,6,diabetic nephropathy,"[EFO_0000589, EFO_0003884]","[OTAR_0000020, EFO_0009690]"
SLC12A1,ENSG00000074803,EFO_0000400,0.38225607239787496,11,diabetes mellitus,"[EFO_0009406, MONDO_0001933]","[EFO_0001379, EFO_0009605, OTAR_0000020, EFO_0010282]"
SLC12A1,ENSG00000074803,EFO_0003884,0.5292511845423362,9,chronic kidney disease,[EFO_0003086],[EFO_0009690]
SLC12A1,ENSG00000074803,EFO_1001134,0.4619748183558772,2,pulmonary edema,[MONDO_0001208],[OTAR_0000010]
SLC12A1,ENSG00000074803,EFO_1000899,0.3695798546847018,1,diastolic heart failure,[EFO_0000373],[EFO_0000319]
SLC12A1,ENSG00000074803,EFO_0009795,0.2893285362699727,4,serum urea measurement,[EFO_0004742],[EFO_0001444]
SLC12A1,ENSG00000074803,EFO_0009690,0.4619748183558772,2,urinary system disease,[],[EFO_0009690]
SLC12A1,ENSG00000074803,EFO_0009662,0.25870589827929125,1,common wart,"[MONDO_0024666, MONDO_0024294, EFO_0000763]","[EFO_0005741, MONDO_0045024, EFO_0010285]"
SLC12A1,ENSG00000074803,EFO_0004531,0.341557637655689,3,urate measurement,[EFO_0001444],[EFO_0001444]
SLC12A2,ENSG00000064651,HP_0012736,0.25870589827929125,1,Profound global developmental delay,[HP_0001263],[EFO_0000651]
SLC12A2,ENSG00000064651,EFO_1001489,0.2710093940250835,1,skin and soft tissue Staphylococcus aureus infection,[EFO_0005681],[EFO_0005741]
SLC12A2,ENSG00000064651,MONDO_0002561,0.2641053504308255,1,lysosomal storage disease,[MONDO_0019052],"[OTAR_0000018, OTAR_0000020]"
SLC12A2,ENSG00000064651,MONDO_0004634,0.38863489558180886,3,vein disorder,[EFO_0004264],[EFO_0000319]
SLC12A2,ENSG00000064651,EFO_0005409,0.30700694904774056,2,fat body mass,[EFO_0004302],[EFO_0001444]
SLC12A2,ENSG00000064651,HP_0000407,0.3400134663099256,1,Sensorineural hearing impairment,[HP_0000364],[EFO_0000651]
SLC12A2,ENSG00000064651,EFO_0000508,0.4135987472393291,42,genetic disorder,[OTAR_0000018],[OTAR_0000018]
SLC12A2,ENSG00000064651,HP_0002619,0.4205922158780789,5,Varicose veins,[HP_0002624],[EFO_0000651]
SLC12A2,ENSG00000064651,HP_0002566,0.3695798546847018,1,Intestinal malrotation,[HP_0002242],[EFO_0000651]
SLC12A2,ENSG00000064651,EFO_0004713,0.3807040521166292,3,FEV/FEC ratio,"[EFO_0006841, EFO_0003892]",[EFO_0001444]
SLC12A2,ENSG00000064651,EFO_0001379,0.26721876555284,1,endocrine system disease,[],[EFO_0001379]
SLC12A2,ENSG00000064651,EFO_0004995,0.42668185293155747,7,lean body mass,[EFO_0004302],[EFO_0001444]
SLC12A2,ENSG00000064651,EFO_0004980,0.3999918145569998,5,appendicular lean mass,"[EFO_0004516, EFO_0004302]",[EFO_0001444]
SLC12A2,ENSG00000064651,EFO_0006335,0.35360578509846796,2,systolic blood pressure,[EFO_0004325],[EFO_0001444]
SLC12A2,ENSG00000064651,EFO_0008446,0.27406199576681933,1,platelet-to-lymphocyte ratio,[EFO_0004503],[EFO_0001444]
SLC12A2,ENSG00000064651,MONDO_0033664,0.5485525553724485,42,Kilquist syndrome,[EFO_0000508],[OTAR_0000018]
SLC12A2,ENSG00000064651,EFO_0007352,0.3579637869021832,2,lymphatic system disease,"[EFO_0005803, MONDO_0044986]","[EFO_0000540, EFO_0005803]"
SLC12A2,ENSG00000064651,EFO_0003035,0.42373605803977415,4,cellulitis,"[EFO_1000774, MONDO_0024295]","[EFO_0005741, EFO_0010285]"
SLC12A2,ENSG00000064651,EFO_0004238,0.48859929607441405,20,hearing loss,[MONDO_0021945],"[MONDO_0002025, EFO_0000618]"
SLC12A2,ENSG00000064651,EFO_0009373,0.292990783324794,10,edema,[EFO_0000701],[EFO_0010285]
SLC12A2,ENSG00000064651,EFO_0004736,0.2740218374905541,1,aspartate aminotransferase measurement,"[EFO_0004747, EFO_0004582]",[EFO_0001444]
SLC12A2,ENSG00000064651,EFO_0004735,0.41367729959190164,5,serum alanine aminotransferase measurement,"[EFO_0004582, EFO_0004747]",[EFO_0001444]
SLC12A2,ENSG00000064651,EFO_0001063,0.395685890927988,75,deafness,[EFO_0004238],"[MONDO_0002025, EFO_0000618]"
SLC12A2,ENSG00000064651,EFO_0007993,0.3667236606177774,2,lymphocyte percentage of leukocytes,[EFO_0004587],[EFO_0001444]
